movie_odid,display_name,territory,release_date,total_box_office,currency,local_box_office,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements
140090100,Frankenweenie,Belgium,2012-10-17,365774,EUR,277805,83128,51,51,184
140090100,Frankenweenie,Bolivia,2012-11-15,115764,BOB,799883,33848,8,8,29
140090100,Frankenweenie,Brazil,2012-11-02,1733458,BRL,3660717,795883,240,240,553
140090100,Frankenweenie,Chile,2012-10-25,535352,CLP,254022383,102834,71,71,224
140090100,Frankenweenie,Colombia,2012-10-26,906802,COP,1650702099,0,0,90,223
140090100,Frankenweenie,Croatia,2013-01-31,22747,HRK,133036,8486,14,14,62
140090100,Frankenweenie,Czech Republic,2013-01-03,74185,CZK,1424886,40475,50,50,99
140090100,Frankenweenie,Denmark,2013-01-10,38441,DKK,215650,18226,44,44,63
140090100,Frankenweenie,Ecuador,2012-10-11,631930,USD,631930,337591,61,61,314
140090100,Frankenweenie,Egypt,2012-11-14,3653,EGP,22238,2152,3,3,4
140090100,Frankenweenie,Estonia,2012-11-09,23816,EUR,18379,10801,5,6,15
140090100,Frankenweenie,Finland,2013-01-11,80516,EUR,59839,36319,42,42,60
140090100,Frankenweenie,France,2012-10-31,7290604,EUR,5734060,0,0,396,750
140090100,Frankenweenie,Germany,2013-01-24,407641,EUR,358846,145503,165,165,263
140090100,Frankenweenie,Greece,2012-11-22,171941,EUR,132154,0,0,3,3
140090100,Frankenweenie,Hong Kong,2012-10-18,565806,HKD,4385958,236881,60,60,138
140090100,Frankenweenie,Iceland,2012-10-19,12788,ISK,1627493,5952,4,4,7
140090100,Frankenweenie,Indonesia,2012-10-24,380860,IDR,3663873200,225582,56,56,97
140090100,Frankenweenie,Israel,2012-11-08,38868,ILS,149789,92774,19,19,39
140090100,Frankenweenie,Italy,2013-01-17,4999289,EUR,3740468,603738,267,267,379
140090100,Frankenweenie,Japan,2012-12-15,1774698,JPY,158338556,0,0,16,16
140090100,Frankenweenie,Latvia,2012-10-05,18835,EUR,14814,7214,5,5,15
140090100,Frankenweenie,Lebanon,2012-10-04,38380,LBP,57686909,17886,8,8,18
140090100,Frankenweenie,Lithuania,2012-11-23,21286,EUR,16448,10531,11,11,21
140090100,Frankenweenie,Malaysia,2012-10-25,346851,MYR,1060670,172428,60,60,137
140090100,Frankenweenie,Mexico,2012-10-12,5110785,MXN,66349233,1660720,948,948,3195
140090100,Frankenweenie,Netherlands,2012-10-18,52010,EUR,39938,52010,38,38,38
140090100,Frankenweenie,New Zealand,2012-10-18,177409,NZD,219242,50642,65,65,161
140090100,Frankenweenie,Norway,2013-01-25,115975,NOK,629883,65799,39,39,68
140090100,Frankenweenie,Peru,2012-11-08,619452,PEN,1598186,278481,65,65,171
140090100,Frankenweenie,Philippines,2012-10-17,117628,PHP,4838028,67869,48,48,50
140090100,Frankenweenie,Poland,2012-12-07,451925,PLN,1393692,127177,118,138,326
140090100,Frankenweenie,Portugal,2012-10-18,135847,EUR,106844,51181,18,18,60
140090100,Frankenweenie,Russia (CIS),2012-10-11,3165383,RUB,97678971,0,0,720,720
140090100,Frankenweenie,Serbia and Montenegro,2013-01-10,10917,RSD,944108,2758,11,11,66
140090100,Frankenweenie,Singapore,2012-11-15,214110,SGD,261343,108122,25,25,55
140090100,Frankenweenie,South Africa,2012-10-26,78644,ZAR,687160,43101,36,36,72
140090100,Frankenweenie,South Korea,2012-10-11,237155,KRW,263360628,199563,261,261,261
140090100,Frankenweenie,Spain,2012-10-11,2921525,EUR,2196110,1057348,306,316,1438
140090100,Frankenweenie,Sweden,2013-01-11,41700,SEK,269632,41700,40,40,40
140090100,Frankenweenie,Switzerland,2012-10-31,61279,CHF,57578,53115,28,28,28
140090100,Frankenweenie,Taiwan,2012-10-26,104415,TWD,3030123,0,0,46,51
140090100,Frankenweenie,Thailand,2012-10-23,36691,THB,1127514,36691,28,28,28
140090100,Frankenweenie,Turkey,2012-11-09,155384,TRY,278883,71807,67,67,146
140090100,Frankenweenie,Ukraine,2012-10-18,211964,UAH,1730050,116457,68,68,175
140090100,Frankenweenie,United Arab Emirates,2012-10-04,269173,AED,988699,129311,20,20,32
140090100,Frankenweenie,United Kingdom,2012-10-12,3708000,UKP,2355322,69983,24,409,2048
140090100,Frankenweenie,Uruguay,2012-11-01,20923,UYU,411133,11342,8,8,13
140090100,Frankenweenie,Venezuela,2012-11-16,1076216,VEF,4616213,351443,34,38,101
140090100,Frankenweenie,Vietnam,2012-10-12,167654,VND,3491616256,83217,18,18,32
140090100,Frankenweenie,Rest of World,,2849494,,0,0,0,0,0
140100100,John Carter,Argentina,2012-03-08,2915604,ARS,12940325,0,0,5,7
140100100,John Carter,Austria,2012-03-08,1120944,EUR,856289,0,0,4,7
140100100,John Carter,Brazil,2012-03-09,6544723,BRL,13035125,0,0,3,9
140100100,John Carter,Bulgaria,2012-03-09,560026,BGN,846647,0,0,3,4
140100100,John Carter,Egypt,2012-03-07,213547,EGP,1289397,0,0,2,4
140100100,John Carter,Indonesia,2012-03-14,1744360,IDR,16027179680,0,0,1,1
140100100,John Carter,Mexico,2012-03-09,12093015,MXN,157099149,0,0,9,9
140100100,John Carter,Peru,2012-03-08,1395122,PEN,3679634,0,0,1,1
140100100,John Carter,Serbia and Montenegro,2012-03-08,39132,RSD,3385908,0,0,7,21
140100100,John Carter,Spain,2012-03-09,7526983,EUR,5749862,0,0,13,13
140100100,John Carter,Ukraine,2012-03-08,2826302,UAH,22702271,0,0,1,1
140100100,John Carter,Venezuela,2012-03-09,2984453,VEF,12801214,0,0,1,1
140100100,John Carter,Rest of World,,169755210,,0,0,0,0,0
140110100,Dolphin Tale,Brazil,2011-10-14,1518446,BRL,3083053,0,0,2,6
140110100,Dolphin Tale,Rest of World,,22263499,,0,0,0,0,0
181330100,Penguins of Madagascar,Argentina,2015-01-22,3101429,ARS,48154027,1200000,223,223,223
181330100,Penguins of Madagascar,Australia,2015-01-01,11847070,AUD,15362096,2875920,466,466,2420
181330100,Penguins of Madagascar,Brazil,2015-01-15,9404530,BRL,26589428,264,885,885,885
181330100,Penguins of Madagascar,Bulgaria,2014-11-28,874467,BGN,1613829,0,0,3,5
181330100,Penguins of Madagascar,France,2014-12-17,16715466,EUR,14699581,0,0,0,0
181330100,Penguins of Madagascar,Germany,2014-11-27,13563579,EUR,12025469,0,0,0,0
181330100,Penguins of Madagascar,Hong Kong,2015-02-20,2629593,HKD,20388286,1319739,93,101,299
181330100,Penguins of Madagascar,Mexico,2014-12-12,18628880,MXN,278296838,0,0,0,0
181330100,Penguins of Madagascar,Netherlands,2014-12-05,4106469,EUR,3624370,0,0,226,1046
181330100,Penguins of Madagascar,Poland,2015-01-30,7645500,PLN,28589583,1967966,0,0,0
181330100,Penguins of Madagascar,Russia (CIS),2014-11-28,14941202,RUB,878916208,0,0,35,35
181330100,Penguins of Madagascar,South Korea,2015-01-02,11049815,KRW,11897114814,3497972,0,0,0
181330100,Penguins of Madagascar,Spain,2014-11-28,5422856,EUR,4772113,0,0,203,684
