movie_odid,display_name,billing,person_odid,person,role
140030100,Monsters,3,192050401,James Richardson,Producer
140030100,Monsters,4,192060401,Nigel Williams,Executive Producer
140030100,Monsters,5,192070401,Nick Love,Executive Producer
140030100,Monsters,6,192080401,Rupert Preston,Executive Producer
140030100,Monsters,7,192090401,Gareth Edwards,Screenwriter
140040100,Catfish,100,198720401,Andrew Jarecki,Producer
140040100,Catfish,100,181060401,Marc Smerling,Producer
140040100,Catfish,100,173570401,Ariel Schulman,Producer
140040100,Catfish,100,173580401,Henry Joost,Producer
140040100,Catfish,100,181070401,Zac Stuart-Pontier,Producer
140040100,Catfish,100,173570401,Ariel Schulman,Director
140040100,Catfish,100,173580401,Henry Joost,Director
140050100,Red,1,188320401,Lorenzo di Bonaventura,Producer
140050100,Red,2,145280401,Mark Vahradian,Producer
140050100,Red,3,188330401,Gregory Noveck,Executive Producer
140050100,Red,4,188340401,Jake Myers,Executive Producer
140050100,Red,5,188350401,David Ready,Co-Producer
140050100,Red,6,174920401,Robert Schwentke,Director
140050100,Red,7,188360401,Jon Hoeber,Screenwriter
140050100,Red,8,188370401,Erich Hoeber,Screenwriter
140050100,Red,9,188380401,Warren Ellis,Story Creator
140050100,Red,10,188390401,Cully Hamner,Story Creator
140050100,Red,11,247590401,Florian Ballhaus,Cinematographer
140050100,Red,12,306590401,Thom Noble,Editor
140050100,Red,13,182320401,Christophe Beck,Composer
140050100,Red,14,295430401,Julianne Jordan,Music Supervisor
140050100,Red,15,318180401,Alec Hammond,Production Designer
140050100,Red,16,314870401,Brandt Gordon,Art Director
140050100,Red,17,390160401,Carolyn Loucks,Set Decorator
140050100,Red,18,236100401,Susan Lyall,Costume Designer
140050100,Red,19,322320401,Glen Gauthier,Sound Mixer
140050100,Red,20,367460401,Jon Title,Sound Designer
140050100,Red,21,418660401,Dave McMoyler,Supervising Sound Editor
140050100,Red,22,99800401,Michael Minkler,Re-recording Mixer
140050100,Red,23,81440401,Tony Lamberti,Re-recording Mixer
140050100,Red,24,367480401,Laird McMurray,Special Effects Coordinator
140050100,Red,25,367490401,James Madigan,Visual Effects Supervisor
140050100,Red,26,164410401,Paul Jennings,Stunt Coordinator
140050100,Red,27,367500401,Jamie Jones,Stunt Coordinator
140050100,Red,28,367510401,Andrew Robinson,Assistant Director
140050100,Red,29,367520401,Myron Hoffert,Assistant Director
140050100,Red,30,367530401,Gary Capo,Second Unit Director
140050100,Red,31,367540401,David Harrington,Second Unit Camera
140050100,Red,32,5860401,Deborah Aquila,Casting Director
140050100,Red,33,154560401,Tricia Wood,Casting Director
