,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
554,s555,Movie,The Unknown Girl,,,,2021-07-01,2016,,106 min,"Drama, International, Mystery","After a mysterious young woman dies on her doorstep, a guilt-ridden doctor embarks on an obsessive quest to learn the truth about what happened."
555,s556,Movie,They Came Together,,,,2021-07-01,2014,R,83 min,"Comedy, Drama, Romance","A couple (Paul Rudd, Amy Poehler) meet cute, fall in love, break up and get back together in this hilarious rom-com spoof."
556,s557,Movie,Timeline,,,,2021-07-01,2003,PG-13,116 min,"Action, Adventure, Science Fiction","The son of an archaeologist must time travel to 14th-century France to rescue his professor father, who has slipped through a wormhole."
557,s558,Movie,Tooth Fairy,,,"United States, Canada",2021-07-01,2010,PG,102 min,"Comedy, Family, Kids",Dwayne Johnson is a hockey-playing hellion who turns into a tutu-wearing Tooth Fairy to atone for his bad behavior in this family film.
558,s559,Movie,Twisted,,,,2021-07-01,2004,R,97 min,"Crime, Drama, Thriller",Ashley Judd stars as a San Francisco homicide cop whose lovers begin turning up as the victims of a serial killer.
559,s560,Movie,Underworld,,,,2021-07-01,2003,R,121 min,"Action, Thriller","A beautiful vampire warrior is entrenched in a war between the vampire and werewolf races. Although she is aligned with the vampires, she falls in love with a werewolf who longs for the war to end."
560,s561,Movie,Underworld Awakening,,,,2021-07-01,2012,R,89 min,"Action, Adventure, Horror","When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrioress Selene leads the battle against humankind."
561,s562,Movie,Underworld: Evolution,,,,2021-07-01,2006,TV-14,86 min,"Action, Adventure, Drama",Vampire warrior Selene and werewolf Michael hunt for clues to reveal the history the war between their races.
562,s563,Movie,Underworld: Rise Of The Lycans,,,,2021-07-01,2009,R,92 min,"Action, Adventure, Horror","The prequel story traces the origins of the centuries-old blood feud between the aristocratic vampires known as Death Dealers and their onetime slaves, the Lycans. In the Dark Ages, a young Lycan named Lucian (Michael Sheen) emerges as a powerful leader."
564,s565,Movie,Escape to Alcatraz,,,,2021-06-30,2021,,,Documentaries,"In 1969, a group of Native Americans took an abandoned prison, Alcatraz, and claimed it for their own. The 19 month occupation helped people across the country understand what happening on reservations. After 50 years, we reveal the how the story was covered with news film that that has been seen in over 5 decades."
565,s566,Movie,Hansel & Gretel: Witch Hunters,,,,2021-06-30,2013,TV-MA,88 min,"Action, Adventure, Horror","Hansel & Gretel are bounty hunters who track and kill witches. As the fabled Blood Moon approaches, the siblings encounter a new form of evil that might hold a secret to their past."
566,s567,Movie,Jack Reacher,,,,2021-06-30,2012,PG-13,127 min,"Action, Adventure, Mystery",A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims. Based on a book in Lee Child's crime series.
567,s568,Movie,On The Red Carpet,,,,2021-06-30,2021,,,News,"On The Red Carpet brings you exclusive access to the celebrities, shows and movies you love, as well as the best in entertainment news."
569,s570,Movie,TMZ Investigates: UFOs: The Pentagon Proof,,,,2021-06-30,2021,,,Reality,Analyzing the U.S. government's official response to UFO conversations from an investigative standpoint; interviews with key players; new footage of UFOs from the deck of a USS naval ship.
571,s572,Movie,Bratz: The Movie,,,,2021-06-29,2007,PG,102 min,"Comedy, Family, Kids",Four diverse girls aim to shatter their high school's divisive clique social system in this film inspired by the popular Bratz dolls.
572,s573,Movie,Harvie and the Magic Museum,,,,2021-06-29,2017,TV-PG,86 min,"Action, Adventure, Comedy",A video game whiz must put his skills to the test to save an old puppet museum and his city from a power-hungry villain.
574,s575,Movie,Safer at Home,,,,2021-06-27,2021,,85 min,"Horror, Thriller","Two years into the pandemic, a group of friends throw a wild online party. After taking ecstasy, things go terribly wrong and the safety of their homes becomes more terrifying than the raging chaos outside."
576,s577,Movie,False Positive,,,,2021-06-25,2021,TV-MA,93 min,"Horror, Thriller","After months of trying and failing to get pregnant, Lucy and Adrian finally find their dream fertility doctor in Dr. Hindle (Pierce Brosnan). But after becoming pregnant with a healthy baby girl, Lucy begins to notice something sinister about Dr. Hindle"
580,s581,Movie,Elvis Presley: The Searcher,,,,2021-06-24,2018,TV-PG,,"Documentaries, Music","Experience the King, Elvis Presley, as you've never seen him before in this two-part documentary."
581,s582,Movie,Battle Over Britney: The Conservatorship Hearing,,,,2021-06-23,2021,,,News,A spotlight on pop star Britney Spears ahead of her speaking out in court for the first time on her controversial conservatorship.
584,s585,Movie,Monster Trucks,,,,2021-06-22,2017,PG,105 min,"Action, Adventure, Comedy","Looking for any way to get away from the life and town he was born into, Tripp (Lucas Till), a high school senior, builds a Monster Truck from bits and pieces of scrapped cars."
592,s593,Movie,The Guilt Trip,,,,2021-06-20,2012,TV-14,96 min,"Comedy, Drama","Pressured into taking his overbearing mother along for the ride, a man embarks on the road trip of a lifetime."
594,s595,Movie,Rise Again: Tulsa and the Red Summer,,,,2021-06-18,2021,,,Documentaries,The discovery of a mass grave in Tulsa Oklahoma begins to unearth the hidden history of racial violence in America.
595,s596,Movie,The Doorman,,,,2021-06-18,2020,R,97 min,"Action, Thriller","A former Marine turned doorman (Ruby Rose, JOHN WICK: CHAPTER 2) must call upon all her lethal fighting skills to protect her sister's family and stop a group of vicious art thieves at a New York City high-rise."
600,s601,Movie,Phobias,,,,2021-06-17,2021,R,86 min,"Horror, Thriller","Five dangerous patients, suffering from extreme phobias at a government testing facility, are put to the ultimate test under the supervision of a crazed doctor and his quest to weaponize fear."
605,s606,Movie,Born to Play,,,,2021-06-15,2020,,93 min,"Documentaries, News","Spend a season with the Boston Renegades, a womenâ€™s semi-professional tackle football team on a path for redemption after losing the national championship the previous year."
609,s610,Movie,Gone Girl,,,United States,2021-06-15,2014,TV-MA,146 min,"Crime, Drama, Mystery","On the occasion of his fifth wedding anniversary, a magazine writer reports that his beautiful wife â€“ famous for being the inspiration for her parents' beloved children's books â€“ has gone missing. Presented by FXM"
610,s611,Movie,Her Deadly Sugar Daddy,,,,2021-06-15,2020,TV-14,91 min,"Horror, Thriller","After graduating from college, 21-year-old Bridget moves to a new town. Desperately needing a job to support her budding writing career, she takes a job as an Executive Assistant to business tycoon Anthony Gloss."
611,s612,Movie,Her Name Is Chef,,,,2021-06-15,2021,,99 min,Documentaries,"Her Name is Chef showcases 6 amazingly talented, inspiring, females of the kitchen. Each share their triumphs in cutting through the clichÃ©s of the restaurant industry, and explore how they broke down the doors to â€˜earnâ€™ the title of Chef."
615,s616,Movie,Nasrin,,,,2021-06-15,2020,,91 min,Documentaries,"Secretly filmed in Iran: an immersive portrait of courageous human rights activist and political prisoner, Nasrin Sotoudeh, and Iranâ€™s remarkable womenâ€™s rights movement. Narrated by Olivia Colman."
617,s618,Movie,The Obituary of Tunde Johnson,,,,2021-06-15,2019,,104 min,"Drama, LGBTQ+, Thriller","A wealthy, Nigerian-American teen is pulled over by police, shot to death and immediately awakens, reliving the same day over and over, trapped in a terrifying time loop - forced to confront difficult truths about his life and himself."
619,s620,Movie,The Housewife and the Hustler,,,,2021-06-14,2021,,,Documentaries,"ABC News Originals goes inside the real-life legal drama facing the husband of ""The Real Housewives of Beverly Hills"" cast member Erika Jayne, legal titan Tom Girardi. Once considered a crusader of justice, Girardi now stands accused of embezzling from the victims he swore to protect."
621,s622,Movie,Willy's Wonderland,,,,2021-06-13,2021,,89 min,"Action, Horror","A loner (Nic Cage) wages war against possessed animatronic mascots while trapped inside Willy's Wonderland, an abandoned family fun center."
622,s623,Movie,UFC 263,,,,2021-06-12,2021,,,Sports,UFC 263: Adesanya vs. Vettori 2
623,s624,Movie,Come True,,,,2021-06-11,2020,,105 min,"Horror, Science Fiction","Looking for an escape from her recurring nightmares, 18-year-old Sarah submits to a university sleep study, but soon realizes she's become the conduit to a frightening new discovery."
627,s628,Movie,The Real Rebel: The Erin Brockovich Story,,,,2021-06-11,2021,,,News,"Youâ€™ve seen the movie. Youâ€™ve seen the TV series. Now, hear Erin Brockovich tell the real story."
632,s633,Movie,Trust,,,,2021-06-10,2021,,94 min,"Drama, Romance","In this sexy and twisty ride, New York gallery owner Brooke and her husband Owen each face exceptional temptations, with most unexpected results."
633,s634,Movie,Two of Us,,,,2021-06-10,2019,,95 min,"Drama, International, LGBTQ+","Two retired women, Nina and Madeleine, have been secretly in love for decades. Everybody thinks they are simply neighbors, sharing the top floor of their building, until an unforeseen event tests their relationship."
635,s636,Movie,The Croods: A New Age,,,,2021-06-09,2020,PG,95 min,"Action, Adventure, Comedy","In search of a new home, the Croods encounter the more sophisticated Betterman family. A new threat forces the two families to set aside their differences to avoid extinction."
638,s639,Movie,The American Royal Baby,,,,2021-06-07,2021,,,News,An insider's look at the life Prince Harry and Meghan Markle's new daughter has as the first American born into the senior British Royal family in the U.S.
644,s645,Movie,Juan Luis Guerra 4.40: Entre Mar y Palmeras,,,,2021-06-04,2021,TV-PG,,"Documentaries, International, Latino",Juan Luis Guerra and his band perform a mix of new and classic hits in this concert from the Dominican Republic. Premieres June 3.
646,s647,Movie,A Glitch in the Matrix,,,,2021-06-03,2021,,109 min,Documentaries,"Are we living in a simulation? Filmmaker Rodney Ascher (ROOM 237, THE NIGHTMARE) wrestles with this existential question in his latest documentary, a multimedia journey that's part sci-fi mind-scrambler, part true-crime horror story."
647,s648,Movie,Night of the Kings,,,,2021-06-03,2020,TV-MA,93 min,"Drama, International","A young man is sent to a prison in the middle of the Ivorian forest ruled by its inmates. As tradition goes with the rising of the red moon, he is designated by the Boss to be the new â€œRomanâ€ and must tell a story to the other prisoners."
651,s652,Movie,Bloody Sunday,,,,2021-06-01,2002,R,111 min,"Drama, History","Paul Greengrass' ""magnetic and impassioned""* drama is a ""staggering re-creation""** of the events of Sunday, January 30th, 1972 when British troops clashed with unarmed protestors in Derry, Northern Ireland."
652,s653,Movie,Changing the Game,,,,2021-06-01,2021,TV-14,91 min,Documentaries,"CHANGING THE GAME takes us into the lives of three high school athletes â€“ all at different stages of their athletic seasons, personal lives, and unique paths as transgender teens."
654,s655,Movie,Fun in Acapulco,,,United States,2021-06-01,1963,PG,97 min,"Comedy, Music",Fun In Acapulco portrays Elvis as a sexy lifeguard by day who transforms himself into a popular entertainer at night by singing at a local Mexican resort.
655,s656,Movie,Hanging Up,,,,2021-06-01,2000,PG-13,95 min,Comedy,"Moving comedy/drama about three sisters (Diane Keaton, Meg Ryan, Lisa Kudrow) and their relationship with their irascible father (Walter Matthau). Screenplay by Nora & Delia Ephron. Directed by Keaton."
657,s658,Movie,Hud,,,United States,2021-06-01,1963,TV-14,112 min,"Action, Adventure, Drama","Life is hard on a Texas ranch, and the owner is not helped by his arrogant ne'er-do-well son, who is a bad influence on the household. The winner of 3 Academy Awards including Best Actress."
660,s661,Movie,Last Chance Harvey,,,,2021-06-01,2008,PG-13,93 min,"Drama, Romance",Legendary Oscar(R) winners Dustin Hoffman and Emma Thompson star in this story of unexpected romance set in London.
661,s662,Movie,Revolutionary Road,,,,2021-06-01,2008,R,119 min,"Drama, Romance",'Titanic' stars Leonardo DiCaprio and Kate Winslet reteam in this acclaimed drama about a young couple's crumbling marriage in 1955.
662,s663,Movie,Rules Of Engagement,,,,2021-06-01,2000,R,128 min,"Black Stories, Comedy, Drama",Tommy Lee Jones and Samuel L. Jackson star in this riveting saga of a veteran Marine who is made the scapegoat of an ill-fated mission.
663,s664,Movie,Savage State,,,,2021-06-01,2019,,121 min,"Adventure, Drama","American Civil War breaks out and a family of French colonists decides to go back to France. Edmond, Madeleine, and their three daughters have to cross the whole country to reach New-York, led by the mysterious and dangerous mercenary, Victor."
665,s666,Movie,Silence,,,,2021-06-01,2016,R,161 min,"Drama, History",SILENCE tells the story of two Christian missionaries who face the ultimate test of faith when they travel to Japan in search of their missing mentor â€“ at a time when Christianity was outlawed and their presence forbidden.
666,s667,Movie,Switchback,,,,2021-06-01,1997,R,118 min,"Crime, Mystery, Thriller","Frank LaCrosse, an FBI agent, steps outside his job to find a brilliant serial killer who has kidnapped his son and becomes involved in a vicious game of cat and mouse."
667,s668,Movie,The Adventures of Tintin: The Secret of the Unicorn,,,,2021-06-01,2011,PG,107 min,"Action, Adventure, Family",Tintin and his friends discover directions to a sunken ship commanded by Capt. Haddock's ancestor and go off on a treasure hunt.
668,s669,Movie,The Cookout,,,United States,2021-06-01,2004,PG-13,88 min,"Black Stories, Comedy, Drama","NBA draftee, Todd Anderson, throws an old-fashioned cookout in his new upscale neighborhood."
669,s670,Movie,The Love Letter,,,,2021-06-01,1999,PG-13,87 min,"Comedy, Drama, Romance","In a small town where everyone knows everyone else's business, an anonymous love letter to an unknown person sends comedic, romantic sparks through several lonely people. With Ellen DeGeneres."
670,s671,Movie,The Time Machine,,,,2021-06-01,2002,PG-13,96 min,"Action, Adventure, Science Fiction","After the sudden and unexpected death of his fiancee spurs Alexander Hartdegen, a scientist, professor and inventor to build a time machine, which he hopes to use in an effort to change the past."
671,s672,Movie,To Die For,,,,2021-06-01,1995,R,106 min,"Comedy, Drama, Thriller","Nicole Kidman is astounding as a newswoman dead-set on making it onto the small screen, whether herhusband wants her there or not."
672,s673,Movie,Walking Tall,,,,2021-06-01,1973,R,125 min,"Action, Adventure, Crime","Based on true events in the life of Tennessee sheriff Buford Pusser, who ""removes"" corruption in his county with a four-foot-long wooden club."
673,s674,Movie,Wayne's World 2,,,United States,2021-06-01,1993,PG-13,95 min,"Comedy, Music","The success of their TV show allows Wayne Campbell and Garth Algar to finally move out of their parents' homes, but now they have to figure out what to do with their lives."
674,s675,Movie,Young Adult,,,United States,2021-06-01,2011,R,94 min,"Comedy, Drama, Romance","A divorced writer from the Midwest returns to her hometown to reconnect with an old flame, who's now married with a family."
676,s677,Movie,The Donut King,,,,2021-05-31,2020,,99 min,Documentaries,Everything you thought you knew about the donut begins with Ted Ngoy. This is the unlikely story of a Cambodian refugee arriving in America in 1975 and building a multi-million-dollar empire baking Americaâ€™s favorite pastry.
677,s678,Movie,The World to Come,,,,2021-05-31,2020,R,105 min,"Drama, LGBTQ+, Romance","Abigail is a grieving wife whose life changes with the arrival of a new neighbor, Tallie. As the two women fall in love against the backdrop of the 19th century Northeast, their connection intensifies inciting jealousy from their husbands."
678,s679,Movie,Lavell Crawford: The Comedy Vaccine,,,,2021-05-28,2021,TV-MA,,"Comedy, Stand Up","Lavell Crawford focuses on COVID-19, mask culture and fatherhood."
680,s681,Movie,The Vigil,,,,2021-05-28,2019,PG-13,90 min,"Horror, Thriller","Called to stand watch overnight to a deceased member of his former Orthodox Jewish community, a young man comes to feel an inescapable supernatural presence in the house."
696,s697,Movie,Vanguard,,,,2021-05-24,2020,,108 min,"Action, Thriller",Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.
699,s700,Movie,Red Dawn,,,,2021-05-19,2012,PG-13,93 min,"Action, Adventure","The city of Spokane, Washington is awakened by a North Korean paratrooper invasion. Marine Corps veteran Jed Eckert and his civilian brother, Matt, unite with their friends to form a guerrilla resistance group to drive the invaders from their home."
702,s703,Movie,Supernova,,,,2021-05-18,2020,R,95 min,"Drama, LGBTQ+, Romance","Sam and Tusker are traveling across England, making the most of their time left together as a serious diagnosis tests their love."
703,s704,Movie,Supernova en EspaÃ±ol,,,,2021-05-18,2020,R,95 min,"Drama, LGBTQ+, Romance","Sam y Tusker son pareja desde hace 20 aÃ±os. Desde que a Tusker hace dos aÃ±os le diagnosticaran alzheimer en su fase temprana, el tiempo que pasan juntos es lo mÃ¡s importante que tienen."
705,s706,Movie,A Perfect Ending,,,,2021-05-15,2012,,110 min,"Drama, LGBTQ+, Romance","From writer-director Nicole Conn comes the edge-of-your-seat lesbian glossy, sexy and fun romantic drama. When straight and married Rebecca seeks out the sexual services of high-priced call girl Paris she isnâ€™t expecting to fall in love."
706,s707,Movie,ABC News Live Honors Asian Pacific American Heritage Month: Bridging Generations,,,,2021-05-15,2021,,,News,"A multi-generational panel led by Juju Chang discusses the galvanizing moment around standing up to anti-Asian hate, and what makes them proud to be Asian."
707,s708,Movie,Cowboys,,,,2021-05-15,2020,,86 min,"Action, Adventure, Drama","In Montana, a father tries to liberate his young transgender son by taking him to Canada, but as a frustrated female detective spearheads an investigation, she discovers that the childâ€™s family situation is more complicated than she thought."
709,s710,Movie,Good Kisser,,,,2021-05-15,2019,,75 min,"Comedy, Drama, LGBTQ+",Kate and Jenna want to spice up their relationship by opening it up to a third and plan a date with the enchanting Mia.
710,s711,Movie,LaLiga Center,,,,2021-05-15,2019,,,Sports,"A closer look at LaLiga's best goals, best U.S. players in league history, and more."
712,s713,Movie,Mosquita y Mari,,,,2021-05-15,2012,,85 min,"Drama, LGBTQ+, Romance","This touching coming of age tale follows a pair of Latina teens in Southeast Los Angeles â€“ straight A student Mosquita and struggling tough girl Mari â€“ who begin studying together, then gradually fall in love."
714,s715,Movie,Reaching for the Moon,,,,2021-05-15,2013,,114 min,"Documentaries, Drama, LGBTQ+",A chronicle of the complicated love affair between Pulitzer Prize-winning American poet (and lesbian) Elizabeth Bishop and acclaimed Brazilian architect Lota de Macedo Soares.
715,s716,Movie,The Mountain Between Us,,,,2021-05-15,2017,PG-13,112 min,"Adventure, Drama, Romance",Two strangers embark on a harrowing journey across the wilderness after their plane crashes in a remote mountain area.
716,s717,Movie,Tru Love,,,,2021-05-15,2013,,88 min,"Drama, LGBTQ+, Romance","Tru is a serial bed-hopping lesbian who cannot commit to a relationship or a job. Then she meets Alice, a beautiful widow and her good friendâ€™s mother. Tru and Alice strike up an unlikely relationship."
717,s718,Movie,UFC 262,,,,2021-05-15,2021,,,Sports,UFC 262
718,s719,Movie,United States of LaLiga,,,,2021-05-15,2019,,,Sports,A showcase of unique stories about LaLiga fans across North America.
719,s720,Movie,MLK/FBI,,,,2021-05-14,2020,,106 min,"Black Stories, Documentaries","Based on recently declassified files, Oscar-nominated filmmaker Sam Pollard explores the US government's surveillance and harassment of Martin Luther King, Jr."
720,s721,Movie,Saint Maud,,,,2021-05-13,2019,R,85 min,Horror,"A newly devout hospice nurse, becomes obsessed with saving her dying patient's soul - but sinister forces, and her own sinful past, threaten to put an end to her holy calling."
721,s722,Movie,Some Kind of Heaven,,,,2021-05-13,2020,,83 min,Documentaries,"Behind the gates of a palm tree-lined fantasyland, four residents of Americaâ€™s largest retirement community â€“ The Villages, FL â€“ strive to find happiness and meaning."
723,s724,Movie,Robot & Frank,,,,2021-05-09,2012,PG-13,89 min,"Comedy, Drama, Science Fiction","Set in the near future, Robot & Franke is a buddy caper about an elderly ex-jewel thief and his new caretaker robot."
724,s725,Movie,Little Fish,,,,2021-05-07,2020,,101 min,"Drama, Romance, Science Fiction","As a memory loss virus runs rampant, one couple fights to hold their relationship together before the disease can erase all memory of their love in this sweeping sci-fi romance."
726,s727,Movie,Looking For Lady Day,,,,2021-05-06,2021,,,Documentaries,"The Legend is wrong: Billie Holiday is neither from Baltimore nor Harlem, but Philadelphia, and throughout her life the city continued to draw her back. Its vibrant jazz scene was a refuge for her, first as a star and then when she was forced out of the spotlight of New York. But it was also the site of some her greatest hardship and humiliation, a place where she was hounded by the law, arrested repeatedly, and sentenced to prison in a trial that made headlines. 6abcâ€™s Tamala Edwards brings Billie and her hometown jazz mecca to life. See the clubs where Lady Day performed, the stages where she sang, the places she lived, and learn why one song â€“ Billie Holidayâ€™s signature tune â€“ brought the wrath of racist lawmen down on her, leaving her with few places where she could feel safe, and few people to trust. Looking for Lady Day: the complicated relationship a genius jazz legend had with the city where she was born."
728,s729,Movie,Shadow in the Cloud,,,,2021-05-05,2020,R,83 min,"Action, Adventure, Horror",A female WWII pilot traveling with top secret documents on a B-17 Flying Fortress encounters an evil presence on board the flight.
729,s730,Movie,Skyfall,,,,2021-05-05,2012,PG-13,143 min,"Action, Adventure, Thriller","Bond's loyalty to M is tested as her past comes back to haunt her. As MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
732,s733,Movie,Love Sarah,,,,2021-05-04,2020,,98 min,"Comedy, Romance","A young woman wishes to fulfill her mother's dream of opening her own bakery in Notting Hill, London. To do this, she enlists the help of an old friend and her grandma."
735,s736,Movie,The Legend of Baron To'a,,,,2021-05-03,2020,,106 min,"Action, Comedy","When his late fatherâ€™s championship belt is stolen by a ruthless gang, a displaced Tongan man must defeat the kingpin and get the title back."
736,s737,Movie,Flight,,,,2021-05-02,2012,TV-MA,139 min,"Black Stories, Drama, Family","A veteran pilot makes a miraculous landing after a mechanical malfunction sends his plane hurtling toward the ground, but an investigation into the incident reveals that he was drunk at the time."
737,s738,Movie,An Elephant's Journey,,,,2021-05-01,2017,PG,90 min,"Adventure, Drama","While living in Africa with his aunt (Elizabeth Hurley), a teen boy (Sam Ashe Arnold) teams up with a huge, friendly elephant to take down a dangerous gang of local poachers."
740,s741,Movie,Blast From the Past,,,,2021-05-01,1999,PG-13,112 min,"Comedy, Romance","After 35 years in a fallout shelter, naive man/child Brendan Fraser comically emerges into the modern world in this comedy."
742,s743,Movie,Blue Chips,,,,2021-05-01,1994,PG-13,108 min,"Drama, Sports","A College b-ball coach on the verge of his first losing season recruits several talented players, but when the players make financial requests, the coach gives in to the demands. His team is winning again but the decisions he made tears him apart."
743,s744,Movie,Bound,,,,2021-05-01,1996,R,109 min,"Crime, Drama, LGBTQ+","The lesbian romance between a newly-released ex-con, and the girlfriend of a Mafia money-launderer, has a mercenary dynamic. The girls plan to walk off with a suitcase of $2 million cash, but the Mafioso finds out a little too soon."
745,s746,Movie,Dr. Bird's Advice for Sad Poets,,,,2021-05-01,2021,R,109 min,"Comedy, Drama","In the emotionally charged, wild and humorous world of sixteen year old James Whitman, we see his struggle to overcome anxiety and depression by seeking advice from Dr. Bird - an imaginary pigeon therapist - in the wake of his sister's disappearance."
746,s747,Movie,Grudge Match,,,,2021-05-01,2013,PG-13,113 min,Comedy,Bitter former boxing rivals Robert De Niro and Sylvester Stallone step into the ring as senior citizens to settle a 30-year-old score.
748,s749,Movie,I Love You Phillip Morris,,,,2021-05-01,2010,R,98 min,"Comedy, Drama, LGBTQ+","Jim Carrey shines as a man who comes out of the closet, goes on a spree as a con man and later finds love in prison."
749,s750,Movie,Junior,,,,2021-05-01,1994,PG-13,110 min,"Comedy, Romance","A male fertility research scientist decides to test the latest drug on himself - and becomes the world's first pregnant man! With Emma Thompson, Frank Langella."
751,s752,Movie,Resident Evil: Apocalypse,,,,2021-05-01,2004,R,94 min,"Action, Adventure, Horror",Alice is in Horrorland â€“ again â€“ in this bloody sequel that pits the lovely heroine against another army of flesh-eating zombies.
752,s753,Movie,Resident Evil: Extinction,,,,2021-05-01,2007,R,94 min,"Action, Adventure, Horror",Alice fights the Umbrella Corporation and their plan to replace humankind with a race of undead clones.
755,s756,Movie,The Age of Adaline,,,,2021-05-01,2015,PG-13,113 min,"Drama, Romance, Science Fiction",Blake Lively and Harrison Ford star in this stirring romantic drama about a 29-year-old woman who has stopped aging - and the timeless power of love.
756,s757,Movie,The Indian in the Cupboard,,,,2021-05-01,1995,PG,96 min,"Drama, Family, Kids",A little boy's world changes when he's given a small cupboard with a key that brings a small toy Indian to life.
757,s758,Movie,The Jackal,,,,2021-05-01,1997,R,124 min,"Action, Adventure, Drama",The FBI races to stop professional assassin Bruce Willis who has his deadly sights set on a U.S. government official in this thriller.
758,s759,Movie,We Were Soldiers,,,,2021-05-01,2002,R,139 min,"Action, Adventure, Drama",Mel Gibson stars in this powerful epic chronicling the 1965 Battle of Ia Drang in the early days of America's involvement in Vietnam.
759,s760,Movie,The Judge,,,,2021-04-30,2014,R,142 min,"Crime, Drama",Hotshot lawyer Robert Downey Jr. must confront his strained relationship with his father â€“ a local judge â€“ upon his return home.
760,s761,Movie,The Night,,,,2021-04-30,2020,,105 min,"Horror, Thriller",A couple becomes trapped in a hotel with their demons â€“ real and imagined â€“ until they can confront the secrets in their marriage in this mind-bending supernatural thriller.
761,s762,Movie,Presidential Address to Congress and the Nation and the Republican Response,,,,2021-04-29,2021,,,News,President Joe Biden addresses the joint session of Congress and the nation.
762,s763,Movie,Arrival,,,,2021-04-28,2016,PG-13,116 min,"Drama, Horror, Science Fiction","When mysterious spacecraft touch down across the globe, an elite team - led by expert translator Louise Banks (Academy AwardÂ® nominee Amy Adams) â€“ races against time to decipher their intent."
764,s765,Movie,Sesame Street: 50 Years of Sunny Days,,,,2021-04-27,2021,TV-14,,"Documentaries, News","Highlighting the 50-year impact of the iconic series and the nonprofit behind it, Sesame Workshop; featured guests include W. Kamau Bell, Gloria Estefan, Dr. Anthony Fauci, Whoopi Goldberg, Christopher Jackson, John Legend, Lucy Liu and Olivia Munn."
767,s768,Movie,Wild Mountain Thyme,,,,2021-04-25,2020,PG-13,102 min,"Comedy, Romance","Rosemary has her heart set on winning Anthonyâ€™s affections. Having been stung by his fatherâ€™s plan to sell his farm in Ireland to his American nephew, Anthony is jolted into pursuing his dreams."
768,s769,Movie,UFC 261: Early Prelims and Prelims,,,,2021-04-24,2021,,,Sports,UFC 261: Early Prelims and Prelims
769,s770,Movie,Billie,,,,2021-04-23,2019,,98 min,"Black Stories, Documentaries, Music",Billie Holiday had one of the greatest voices of all time. This film chronicles her amazing story featuring remastered performances and interviews from musical greats.
770,s771,Movie,Better Days,,,,2021-04-22,2019,PG,136 min,Drama,"The relentlessly bullied Nian finds solace in petty criminal Bei while preparing for her college entrance exam. Before they can run off together, they are pulled into a murder investigation, altering their lives forever."
771,s772,Movie,Breaking Fast,,,,2021-04-22,2020,,92 min,"Comedy, Drama, LGBTQ+","Mo, a practicing Muslim living in West Hollywood, is learning to navigate life post heartbreak. Enter Kal, an All-American guy who surprises Mo by offering to break fast with him during the holy month of Ramadan."
774,s775,Movie,It's Not Too Late: Earth Day Special,,,,2021-04-20,2021,,,News,"A journey across the globe with ABC News Chief Meteorologist Ginger Zee focused on what the world can do this Earth Day to help slow the climate emergency â€“ through a series of unique interviews and exclusive access, Ginger shows it never is too late to make a difference."
775,s776,Movie,Memories of Murder,,,,2021-04-20,2003,TV-MA,131 min,"Crime, Drama, Horror",From director Bong Joon-ho (THE HOST) comes this tense psychological crime thriller based on the actual case of a serial killer.
778,s779,Movie,Set the Record Straight: The Jam Master Jay Case,,,,2021-04-19,2021,,,"Crime, Documentaries, Music","The case of the the 2002 unsolved murder of RUN DMCâ€™s Jam Master Jay stayed cold for nearly two decades. Now, new developments in the story uncovered by Journalist Darla Miles examines the complicated legacy of a rap pioneer and leverages exclusive archival video to reveal new details and seek justice for friends, family, fans and an entire community."
779,s780,Movie,The Lynching of Henry â€˜Pegâ€™ Gilbert,,,,2021-04-19,2020,,,Documentaries,"Henry â€˜Pegâ€™ Gilbert was sitting in church one evening in 1947 when, about 100 yards away, a calf wandered into the road. This would lead to a sequence of events that seemingly had nothing to do with Gilbert, or with his surprising success for a Black farmer in rural Georgia in the 1940s, but it would eventually end in his lynching. The Lynching of Henry â€˜Pegâ€™ Gilbert tells the story of a man whose unjust death resonates as much today as it did 70 years ago. Gilbertâ€™s story was uncovered by researchers at the Northeastern University school of Law, who proved that he was beaten, tortured and lynched in a jail cell, all under the supervision of local law enforcement."
781,s782,Movie,Modern Persuasion,,,,2021-04-17,2020,,87 min,Romance,A single woman focused on her career in New York is forced to deal with the aftermath of a failed relationship when an ex-boyfriend hires her company.
782,s783,Movie,Sister of the Groom,,,,2021-04-17,2020,R,92 min,"Comedy, Drama, Romance",Alicia Silverstone (Clueless) and Tom Everett Scott (That Thing You Do) star in a destination wedding weekend gone off the rails.
785,s786,Movie,Fly Like a Girl,,,,2021-04-16,2020,,85 min,Documentaries,"Fly Like A Girl is more than just a film. Itâ€™s a movement of young girls and women relentlessly pursuing their passion for aviation. A field currently dominated by men.
Fly Like A Girl shows us that women are in charge of their own destiny."
786,s787,Movie,Songbird,,,,2021-04-16,2021,PG-13,85 min,Thriller,"In the terrifying thriller SONGBIRD, the COVID-23 virus has mutated and the world is in its fourth year of lockdown."
