,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1688,s1689,Movie,Delivered,,,,2020-05-08,2020,TV-MA,80 min,"Horror, Thriller",A pregnant womanâ€™s life is upended when she realizes someone close to her has darker plans for her and the baby.
1689,s1690,Movie,Spaceship Earth,,,United States,2020-05-08,2020,115 min,,Documentaries,In 1991 a group of countercultural visionaries built an enormous replica of earthâ€™s ecosystem called Biosphere 2. Their epic adventure is a cautionary tale but also a testament to the power of small groups reimagining the world.
1691,s1692,Movie,The Hustle,,,United States,2020-05-07,2019,PG-13,94 min,Comedy,Rebel Wilson and Anne Hathaway have winning chemistry as a pair of con artists plying their trade in a stunning seaside town in the south of France as they compete to swindle a naive tech prodigy (Alex Sharp) out of his considerable fortune.
1692,s1693,Movie,Fine Lines,,,"United Arab Emirates, Hong Kong",2020-05-06,2019,PG,98 min,Documentaries,"There is something far deeper that drives the worldâ€™s most elite group of mountain adventurers to take life threatening risks. At times brutally honest, other times pensive, these athletesâ€™ stories reveal the triumph of the human spirit."
1693,s1694,Movie,Pain and Glory,,,,2020-05-06,2019,R,113 min,"Drama, International",A film director reflects on the choices he's made in life as past and present come crashing down around him.
1694,s1695,Movie,Shironeko Project ZERO CHRONICLE,,,Japan,2020-05-06,2020,1 Season,,Anime,"Based on the mobile game, a young hero joins a party of travelers along with a talking cat on a journey to mysterious islands. But after one of the adventurers becomes corrupted by darkness, the party race to find the Seven Great Runes before itâ€™s too late!"
1695,s1696,Movie,The 33,,,"Chile, Colombia, Spain, United States",2020-05-05,2015,PG-13,127 min,Drama,The 2010 Chilean mine disaster and the 69-day effort to rescue the 33 miners who were trapped underground is chronicled.
1696,s1697,Movie,The Lodge,,,"United Kingdom, United States, Canada",2020-05-05,2019,R,108 min,"Horror, Thriller","When the father is forced to abruptly depart for work, he leaves his children, Aidan and Mia in the care of his new girlfriend, Grace . Isolated and alone, a blizzard traps them inside the lodge as terrifying events summon specters from Graceâ€™s dark past."
1698,s1699,Movie,After Class,,,,2020-05-04,2019,TV-MA,94 min,"Comedy, Drama",A creative writing instructor deals with his family and sick grandmother while attempting to defend his name after a student is made to feel uncomfortable in his classroom.
1699,s1700,Movie,Arte,,,Japan,2020-05-04,2020,1 Season,,"Anime, Drama, History","Born into an aristocratic family in Florence, Italy, during the 16th century Renaissance era, Arte has dreams of becoming an artist. She casts aside her lifestyle and becomes an apprentice in a painting studio owned by the stern but fair Leo."
1701,s1702,Movie,Unlocking Victory,,,,2020-05-03,2019,,,Sports,Dominick Cruz and Gilbert Melendez take you inside the octagon to explore fighter techniques and strategies.
1703,s1704,Movie,Boomtown,,,United States,2020-05-01,2017,91 min,,Drama,"Struggling to make ends meet, John ""JT"" Turner leaves his young family behind to pursue a grueling, yet highly coveted, job in a booming oil town."
1704,s1705,Movie,Christine,,,"United Kingdom, United States",2020-05-01,2016,R,119 min,Drama,"CHRISTINE is the story of an aspiring newswoman caught in the midst of a personal and professional life crisis. Between unrequited love, frustration at work, a tumultuous home, and self-doubt; she begins to spiral down a dark path."
